源声编码,观点原文句,源声来源,观点类别,,
,经常是3G信号和4G信号切换,Bhuafen,2/3/4G网络切换频繁,,
,手机经常自动从4G网络切换到3G网络,Bhuafen,2/3/4G网络切换频繁,,
,信号上面的4g一直在切换2g,Bhuafen,2/3/4G网络切换频繁,,
,2G4G一直跳,Bhuafen,2/3/4G网络切换频繁,,
,网络不好 最近4G网老变成2G的，还显示没网络连接,Bhuafen,2/3/4G网络切换频繁,,
,为啥流量4G老是变成2g,Bhuafen,2/3/4G网络切换频繁,,
,我的联通卡为什么一直切换网络？ 3G H H+ 4G来回的切换,Bhuafen,2/3/4G网络切换频繁,,
,老是4G跳2G信号,Bhuafen,2/3/4G网络切换频繁,,
,为什么荣耀V8的4G信号只有两格，老是切换到2G信号,Bhuafen,2/3/4G网络切换频繁,,
,2g和3g也是一样经常切换到3g,Bhuafen,2/3/4G网络切换频繁,,
,经常在4g和3g之间跳来跳去,Bhuafen,2/3/4G网络切换频繁,,
,频繁切换3G4G,Bhuafen,2/3/4G网络切换频繁,,
,手机上网的网络怎么老是切换,Bbaidutieba,2/3/4G网络切换频繁,,
,如何设置成仅4g网络！！老是来回切换,Bbaidutieba,2/3/4G网络切换频繁,,
,4G3G频繁掉,Bbaidutieba,2/3/4G网络切换频繁,,
,网络状态一直自动切换,Bbaidutieba,2/3/4G网络切换频繁,,
,魅蓝note2G和3G信号经常换来换去怎么办,Bbaidutieba,2/3/4G网络切换频繁,,
,昨天出现4G跟3G来回跳,Bbaidutieba,2/3/4G网络切换频繁,,
,我的3g网老是自动变2g,Bbaidutieba,2/3/4G网络切换频繁,,
,华为畅玩手机怎么老是从4g变3g,Bbaidutieba,2/3/4G网络切换频繁,,
,4g信号满格，为什么老是切换到2G？ [不停切换,Bbaidutieba,2/3/4G网络切换频繁,,
,802t的信号那样一直3g2g来回转换,Bbaidutieba,2/3/4G网络切换频繁,,
,"总是在4g.3g,e来回跳",Bbaidutieba,2/3/4G网络切换频繁,,
,信号为什么跳来跳去,Bbaidutieba,2/3/4G网络切换频繁,,
,"2g,3g几秒就切换",Bbaidutieba,2/3/4G网络切换频繁,,
,总是2G和H之间转换,Boppo,2/3/4G网络切换频繁,,
,手机一开4g就无服务，过一会就会变成2g的网,Bbaidutieba,2/3/4G网络切换频繁,,
,连Wi-Fi连上之后不停切换移动网络,Bbaidutieba,2/3/4G网络切换频繁,,
,K920常常信号4G变2G,Bbaidutieba,2/3/4G网络切换频繁,,
,移动版会在2g和3g之间不断切换信号,Bbaidutieba,2/3/4G网络切换频繁,,
,OPPO 4G怎么经常变成2G,Boppo,2/3/4G网络切换频繁,,
,oppo手机为什么总自动切换wifi和4g网络,Bbaidutieba,2/3/4G网络切换频繁,,
,玩游戏老4g跳3g网络,Boppo,2/3/4G网络切换频繁,,
,玩游戏网络总是乱换一会2G一会4G,Boppo,2/3/4G网络切换频繁,,
,出去网络一直2g3g却换,Bbaidutieba,2/3/4G网络切换频繁,,
,发现手机的3g信号好差，经常跳到e网络,Bbaidutieba,2/3/4G网络切换频繁,,
,"信号条旁有H+,H,3G字样，而且总是在不停的切换",Bbaidutieba,2/3/4G网络切换频繁,,
,数据连接怎么总是2g和3g互相切换,Bbaidutieba,2/3/4G网络切换频繁,,
,4g网常常切换,Boppo,2/3/4G网络切换频繁,,
,老家的4g信号较弱，总是会自动变成2g,Bbaidutieba,2/3/4G网络切换频繁,,
,优选3g‘’老是自动跳到2g网络,Bbaidutieba,2/3/4G网络切换频繁,,
,总是在2g3g网络中来回换,Boppo,2/3/4G网络切换频繁,,
,我的荣耀6怎么老感觉网络连接不稳定，我是移动版的，一直不停的切换,Bbaidutieba,2/3/4G网络切换频繁,,
,三星7108老是3g变2g,Bbaidutieba,2/3/4G网络切换频繁,,
,上网的时候一直H+和3G来回换,Bbaidutieba,2/3/4G网络切换频繁,,
,每次上网就在3G网和H之间不停的切换,Bbaidutieba,2/3/4G网络切换频繁,,
,手机一直在 没网，2g，3g，4g之间切换,Bbaidutieba,2/3/4G网络切换频繁,,
,手机的网络经常在h和3g之间切换,Bbaidutieba,2/3/4G网络切换频繁,,
,为什么开4G几秒后跳到3G,Bbaidutieba,2/3/4G网络切换频繁,,
,为什么我的信号一直在H和3G之间跳来跳去,Bbaidutieba,2/3/4G网络切换频繁,,
,数据网络总是切换成2G3G网,Bbaidutieba,2/3/4G网络切换频繁,,
,为什么信号那么差中国移动 老是4G跳2G,Bbaidutieba,2/3/4G网络切换频繁,,
,数据网络和wifi来回自动切换,Bbaidutieba,2/3/4G网络切换频繁,,
,怎么网络一直跳来跳去啊,Bbaidutieba,2/3/4G网络切换频繁,,
,但是现在p7经常切换网络,Bbaidutieba,2/3/4G网络切换频繁,,
,明明是4G，但是网速好慢,意见,4G上网速度慢,,
,4g  网络  进网页慢怎么回事,意见,4G上网速度慢,,
,4g流量特别慢,意见,4G上网速度慢,,
,4g数据网满格，缓冲半天才连得上,意见,4G上网速度慢,,
,4G网，但网速太慢是怎么回事？,意见,4G上网速度慢,,
,4G网络 我的vivoY35更新系统后网速就慢快几十倍，这是什么回事,意见,4G上网速度慢,,
,4g网络超慢,意见,4G上网速度慢,,
,4G网络好慢，同一个群（工作群），别人消息都收到20多秒了，我的才一下子跳出几条信息,意见,4G上网速度慢,,
,4G网络速度太慢,意见,4G上网速度慢,,
,4g网络太卡了,意见,4G上网速度慢,,
,4G网络太慢,意见,4G上网速度慢,,
,4g网络太慢  和2g一样  还不如2g,意见,4G上网速度慢,,
,4G网络太慢了，是假的吧。,意见,4G上网速度慢,,
,4G网络网速特慢，游戏老延迟,意见,4G上网速度慢,,
,为什么我的手机4g网络很慢呢,意见,4G上网速度慢,,
,4G网络用着不顺畅,意见,4G上网速度慢,,
,4G网慢,意见,4G上网速度慢,,
,4G网速非常慢,意见,4G上网速度慢,,
,4G网太慢,意见,4G上网速度慢,,
,4G网网页打开慢,意见,4G上网速度慢,,
,4G网为什么还这么慢,意见,4G上网速度慢,,
,4G信号比较差。网速太慢,意见,4G上网速度慢,,
,4G信号不好，有时候三格信号，但是网速特别慢,意见,4G上网速度慢,,
,4G信号为什么网速那么差，0.0k／S,意见,4G上网速度慢,,
,4G上网明显变慢,意见,4G上网速度慢,,
,用的无线网或者4G网，都下载超慢,意见,4G上网速度慢,,
,我得手机连接无线网络或者移动4g都非常慢,意见,4G上网速度慢,,
,网速慢了许多，加载中好慢，4G网,意见,4G上网速度慢,,
,4G网络用起来跟2G差不多,意见,4G上网速度慢,,
,明明4G却刷新不过来，网页进不去的，有时十来K每秒地走这是个什么鬼,意见,4G上网速度慢,,
,我用wifi和4G都试过，重启也试过，怎么都是几十kB的跑呢，100KB都上不了,意见,4G上网速度慢,,
,不论是4G还是WIFI，经常性联网速度超慢,意见,4G上网速度慢,,
,wifi和4g网慢了，要好几秒才刷的出来,意见,4G上网速度慢,,
,唯独移动4g网络下网速那么慢,意见,4G上网速度慢,,
,4G网 今天用着慢死了，还有卡顿了，从来没卡过,意见,4G上网速度慢,,
,明明我的是4G在线，信号还是满格的，打开网页却慢得要死,意见,4G上网速度慢,,
,不论是无线网，还是4G网络，都慢,意见,4G上网速度慢,,
,用自己的4g网也不是很快怎么回事,意见,4G上网速度慢,,
,王者荣耀用4G在信号好的地方延迟一般200-400左右 每次气的我的真想把手机摔了或者低价处理买其他的,意见,4G上网速度慢,,
,手机4G网络更是慢的一塌糊涂,意见,4G上网速度慢,,
,连接wifi和移动3G4G网络卡顿，网速慢,意见,4G上网速度慢,,
,4g的网速只有几k到十几k,意见,4G上网速度慢,,
,Y35在满4G信号时，有时连接网络很慢是什么原因,意见,4G上网速度慢,,
,为什么上网卡 玩游戏延迟无线网4G网都在300多以上,意见,4G上网速度慢,,
,我用wifi和4g用系统应用如浏览器和系统升级都特别慢经常打不开网页,意见,4G上网速度慢,,
,不管wifi还是4G+开网页联网明显延迟,意见,4G上网速度慢,,
,我的4G十网速连2G网都达不到,意见,4G上网速度慢,,
,打开移动4g网络了，网页打开速度很慢,意见,4G上网速度慢,,
,用4G也卡有慢,意见,4G上网速度慢,,
,就是4g的网络根本达不到，网速有点慢,意见,4G上网速度慢,,
,我开的4G网络的网速好慢,意见,4G上网速度慢,,
,每次都是延迟460，直接卡到死，无论是无线网还是4G网络，都卡的死死的,意见,4G上网速度慢,,
,在状态栏显示的是4g为何网速1那么慢,意见,4G上网速度慢,,
,目前网速出现问题，4G网络然而有时图片加载不出来,意见,4G上网速度慢,,
,好慢，无线慢，4G慢,意见,4G上网速度慢,,
,很难上4G网络,意见,4G上网速度慢,,
,4G网速这么慢,意见,4G上网速度慢,,
,浏览器速度4g都很慢，有时候图片出不来,意见,4G上网速度慢,,
,第一我是4G第二我所处的环境环境很好第三我是最新版第四别和我说什么还原设置，我特么试过了，然并卵！第五我的内存足够不管是移动数据还是WIFI，网速都巨慢,意见,4G上网速度慢,,
,4G网速没有以前快 现在很慢 跟2G没什么区别,意见,4G上网速度慢,,
,明明开着4G，有时候就像抽风一样加载不出东西，或者很慢,意见,4G上网速度慢,,
,明明是4G 网络却是很慢,意见,4G上网速度慢,,
,明明手机显示是4g网，却是2g网速,意见,4G上网速度慢,,
,目前4g网络相当慢，还没3g快,意见,4G上网速度慢,,
,4G信号满格，别的手机4G一点都不卡，我手机在这里就是玩游戏卡,意见,4G上网速度慢,,
,wifi延迟高的要死，老是转圈圈，还有4G网也是,意见,4G上网速度慢,,
,4G和wifi连接都好好的都是满格。玩游戏的时候却一直在哪加载，请稍候,意见,4G上网速度慢,,
,4G网怎么能卡,意见,4G上网速度慢,,
,明明是开着4G网络，但是特别慢,意见,4G上网速度慢,,
,4G网络太慢啦,意见,4G上网速度慢,,
,自己的4G网都特别卡,意见,4G上网速度慢,,
,4G网慢了很,意见,4G上网速度慢,,
,手机信号满格，为什么流量很慢，几乎不走，到底什么情况啊！！4g网也开了,意见,4G上网速度慢,,
,手机信号是4g+  但是网速并不是很好,意见,4G上网速度慢,,
,数据开4g可是很慢,意见,4G上网速度慢,,
,为什么我的手机（4G卡）网速很慢,意见,4G上网速度慢,,
,4G信号满格，就是网还卡,意见,4G上网速度慢,,
,网络慢有时候2/3格4G信号但是只有1/2K1s,意见,4G上网速度慢,,
,手机用的4G。。但网速慢得不行,意见,4G上网速度慢,,
,网络太卡了，移动是不是不行了啊，我4G,意见,4G上网速度慢,,
,网络特别慢，2G3G4G都一个样，都给2G网络一样，几KB,意见,4G上网速度慢,,
,网络显示4g，但有时候上网啥的动不了，像是没开网络似的,意见,4G上网速度慢,,
,4G下载网速差的一塌糊涂,意见,4G上网速度慢,,
,4G网都卡,意见,4G上网速度慢,,
,用4G网络卡的要死,意见,4G上网速度慢,,
,什么4g啊别人的手机加载图片无需等待，同样的网络我的就得等半天,意见,4G上网速度慢,,
,网速很差，4G都才0.4k左右的网速,意见,4G上网速度慢,,
,为什么 4G的信号，还是网速那么慢,意见,4G上网速度慢,,
,为什么用4G网下东西  还没有3g下东西快,意见,4G上网速度慢,,
,为什么有的时候开4G刷微博一点都不快,意见,4G上网速度慢,,
,上网这么慢？？？？？我的是4G网络,意见,4G上网速度慢,,
,我开4g网，为什么那么慢,意见,4G上网速度慢,,
,我开移动4G网，怎么上网没网速,意见,4G上网速度慢,,
,我用4G流量玩游戏，网速慢,意见,4G上网速度慢,,
,显示的是4g+网络，可是网速特别的慢,意见,4G上网速度慢,,
,4G网络慢,意见,4G上网速度慢,,
,用4G上网很慢,意见,4G上网速度慢,,
,用4G刷特别慢,意见,4G上网速度慢,,
,用4G网的时候，有时候会很卡,意见,4G上网速度慢,,
,用4g网太卡,意见,4G上网速度慢,,
,用4g卡也慢在这个网络时代对这个我也是无语了,意见,4G上网速度慢,,
,4G网络 卡,意见,4G上网速度慢,,
,有时候4g会很慢  在开网页的时候,意见,4G上网速度慢,,
,有时候4G信号和无线网络信号挺好，但是网速却很慢,意见,4G上网速度慢,,
,有时候没网速，明明是4G的卡,意见,4G上网速度慢,,
,怎么开4G网从vivo浏览器上下东西这么慢啊,意见,4G上网速度慢,,
,主卡中国移动4G，但是经常网络速度很慢，只有几k/s，甚至0k/s，刷图片打开网页很慢,意见,4G上网速度慢,,
,4G卡的跟啥一样,意见,4G上网速度慢,,
,这次CPU不给力,Ejd,CPU配置低,,
,CPU，一如既往的联发科，烂,Ejd,CPU配置低,,
,cpu不给力,Ejd,CPU配置低,,
,CPU内存配置不高,Ejd,CPU配置低,,
,652cpu感觉没用红米note3的650玩得顺畅,Ejd,CPU配置低,,
,CPU还是反应不快,Ejd,CPU配置低,,
,cpu太低端，垃圾,Ejd,CPU配置低,,
,CPU运转不给力,Ejd,CPU配置低,,
,CPU真的烂,Ejd,CPU配置低,,
,魅族除了cpu不行,Ejd,CPU配置低,,
,cpu差点,Ejd,CPU配置低,,
,cpu和摄像头有点水,Ejd,CPU配置低,,
,CPU处理器稍差点,Ejd,CPU配置低,,
,cpu始终不够，标的3G实际也就1G的能力，水得很,Ejd,CPU配置低,,
,CPU垃圾,Ejd,CPU配置低,,
,联发科cpu太差,Ejd,CPU配置低,,
,虽然CPU用P10有点小遗憾,Ejd,CPU配置低,,
,cpu处理器一般,Ejd,CPU配置低,,
,cpu频率小反应迟钝一点,Ejd,CPU配置低,,
,cpu和图形处理能力有点差强人意,Ejd,CPU配置低,,
,cpu不行的,Ejd,CPU配置低,,
,cpu有点不够用,Ejd,CPU配置低,,
,CPU频率感觉不是很高,Ejd,CPU配置低,,
,CPU还是差点,Ejd,CPU配置低,,
,不过联发科的cpu实在不敢恭维,Ejd,CPU配置低,,
,cpu体质差,Ejd,CPU配置低,,
,再说起CPU就更是满满的伤心,Ejd,CPU配置低,,
,不过联发科的CPU真的渣渣,Ejd,CPU配置低,,
,唯一的不足是CPU差,Ejd,CPU配置低,,
,就是感觉反应要慢一点。可能和cpu有关系,Ejd,CPU配置低,,
,cpu低端了点,Ejd,CPU配置低,,
,CPU速度慢,Ejd,CPU配置低,,
,CPU1.4低了点,Ejd,CPU配置低,,
, CPU速度就很一般了,Ejd,CPU配置低,,
,CPU太低了,Ejd,CPU配置低,,
,感觉cpu一般,Ejd,CPU配置低,,
,cpu反应慢,Ejd,CPU配置低,,
,CPU略差一点,Ejd,CPU配置低,,
,616cpu也不强劲,Ejd,CPU配置低,,
,cpu超烂,Ejd,CPU配置低,,
,CPU是三星的，略有点遗憾,Ejd,CPU配置低,,
,只是cpuP10有点低,Ejd,CPU配置低,,
,联发科的cpu太烂了,Ejd,CPU配置低,,
,马马虎虎将就用用，手机发热挺厉害，估计用的联发科的CPU,Ejd,CPU配置低,,
,CPU低能,Ejd,CPU配置低,,
,CPU是三星的，有点遗憾,Ejd,CPU配置低,,
,cpu808感觉处理不够快,Ejd,CPU配置低,,
,祖传GPU有待提升,Ejd,CPU配置低,,
,cpu频率小点，反应有点慢,Ejd,CPU配置低,,
,cpu弱是硬伤,Ejd,CPU配置低,,
,cpu弱弱弱,Ejd,CPU配置低,,
,cpu也不如v8,Ejd,CPU配置低,,
,唯一不足是CPU差了点,Ejd,CPU配置低,,
,CPU太次了，玩一些较大型的游戏会卡,Ejd,CPU配置低,,
,什么鬼货，用三星的cpu，真是太无语了,Ejd,CPU配置低,,
,CPU处理器相对note3要弱,Ejd,CPU配置低,,
,和桌面的6950x级别cpu差距不小，性能才达到了3%的水准,Ejd,CPU配置低,,
,唯一不好的是cpu,Ejd,CPU配置低,,
,cpu不好,Ejd,CPU配置低,,
,CPU吧说是联发科X25十刻 处理器，但是用起来 ，还没魅族por5的 三星8810Exynos7420好用,Ejd,CPU配置低,,
,骁龙625CPU真心不行啊,Ejd,CPU配置低,,
,CPU真的是伤不起615，一下子拉低了档次,Ejd,CPU配置低,,
,手机cpu版本一般,Ejd,CPU配置低,,
,低端CPU,Ejd,CPU配置低,,
,cpu太烂,Ejd,CPU配置低,,
,cpu不是台积电的，有点遗憾,Ejd,CPU配置低,,
,CPU（全网通） 高通骁龙410 64位 主频1.2 4核 支持全网通 （中兴V5 max做了屏蔽电信的处理） 运算能力和图像处理还是比较一般的,Ejd,CPU配置低,,
,高通801的配置在今天已不是豪华配置 CPU性能没能完全应对目前大型游戏,Ejd,CPU配置低,,
,硬伤是CPU,Ejd,CPU配置低,,
,CPU配置不高,Ejd,CPU配置低,,
,cpu性能较差,Ejd,CPU配置低,,
,CPU不太行,Ejd,CPU配置低,,
,cpu还是降频的,Ejd,CPU配置低,,
,一星给821CPU,Ejd,CPU配置低,,
,CPU会略逊点,Ejd,CPU配置低,,
,"可不要联发科的CPU,忒垃圾了吧",Ejd,CPU配置低,,
,cpu不太好,Ejd,CPU配置低,,
,如果再配上高通的CPU或许会获得更多人青睐。,Ejd,CPU配置低,,
,CPU不够强力,Ejd,CPU配置低,,
,可惜所用的cpu不是820，哪怕810也好。用起来反应有点慢,Ejd,CPU配置低,,
,CPU性能比起高通820来说，要差些,Ejd,CPU配置低,,
,CPU配置虽然差点,Ejd,CPU配置低,,
,CPU一般,Ejd,CPU配置低,,
,CPU反应就慢了,Ejd,CPU配置低,,
,cpu不太给力,Ejd,CPU配置低,,
,cpu还是不够强劲,Ejd,CPU配置低,,
,cpu1.5真的不怎么够跑大游戏,Ejd,CPU配置低,,
,CPU性能不强,Ejd,CPU配置低,,
,CPU配置太低,Ejd,CPU配置低,,
,但是CPU还是让我比较不爽,Ejd,CPU配置低,,
,CPU差,Ejd,CPU配置低,,
,CPU功能可能逊于米4C,Ejd,CPU配置低,,
,不晓得是不是缩水内存和cpu,Ejd,CPU配置低,,
,CPU真真的是渣渣,Ejd,CPU配置低,,
,cpu弱鸡,Ejd,CPU配置低,,
,CPU应该是过时的货，低端配置,Ejd,CPU配置低,,
,CPU渣得不行,Ejd,CPU配置低,,
,这手机的CPU 打个王者荣耀 卡出翔,Ejd,CPU配置低,,
,cpu差劲,Ejd,CPU配置低,,
,CPU缩水,Ejd,CPU配置低,,
,八核cpu,Ejd,CPU配置低,,
,cpu有待提高,Ejd,CPU配置低,,
,cpu处理可能不能满足玩大型网游的要求,Ejd,CPU配置低,,
,cpu太差了反应好慢,Ejd,CPU配置低,,
,全球最强的14纳米CPU,Ejd,CPU配置高,,
,cpu都够大够快,Ejd,CPU配置高,,
,搭载高通骁龙820CPU，最牛逼的处理器,Ejd,CPU配置高,,
,820的CPU比海思955速度也快很多,Ejd,CPU配置高,,
,配置高，CPU&amp;GPU顶配,Ejd,CPU配置高,,
,这个价位买也就冲着Exynos 7420 CPU ，LPDDR4内存及UFS 2.0,Ejd,CPU配置高,,
,CPU也给力,Ejd,CPU配置高,,
,CPU比我的Z5P 火龙810强太多了,Ejd,CPU配置高,,
,CPU性能很强大,Ejd,CPU配置高,,
,CPU超强大,Ejd,CPU配置高,,
,CPU性能强悍,Ejd,CPU配置高,,
,CPU有进步,Ejd,CPU配置高,,
,cpu是955的不是950,Ejd,CPU配置高,,
,CPU是高通骁龙650是优点,Ejd,CPU配置高,,
,cpu运行很不错,Ejd,CPU配置高,,
,CPU是820的还不错,Ejd,CPU配置高,,
,CpU强劲,Ejd,CPU配置高,,
,最强悍的国产麒麟CPU,Ejd,CPU配置高,,
,这个cpu绝对撑的起两年了！,Ejd,CPU配置高,,
,cpu性能略好于801,Ejd,CPU配置高,,
,cpu都很不错,Ejd,CPU配置高,,
,机子cpu性能强内存大,Ejd,CPU配置高,,
,pro6的cpu有三个类型的十个核心，在不同的使用需求下开启,Ejd,CPU配置高,,
,CPU性能强劲,Ejd,CPU配置高,,
,华为自己的cpu棒棒哒,Ejd,CPU配置高,,
,CPU是满血的高通骁龙820,Ejd,CPU配置高,,
,CPU主频够高,Ejd,CPU配置高,,
,高通cpu801的处理器非常好,Ejd,CPU配置高,,
,高通cpu还是不错,Ejd,CPU配置高,,
,高通的cpu还是给力的。,Ejd,CPU配置高,,
,感觉现在CPU千元机的完全够用,Ejd,CPU配置高,,
,4G的RAM加上高端的CPU，反应很流畅,Ejd,CPU配置高,,
,CPU没有升级但算是目前最顶配了,Ejd,CPU配置高,,
,目前手机反应很快，毕竟2.5的CPU频率,Ejd,CPU配置高,,
,CPU正宗,Ejd,CPU配置高,,
,cpu是台积电的，测试跑分也很高，性能强劲,Ejd,CPU配置高,,
,cpu飞快,Ejd,CPU配置高,,
,主频CPU 频超红米3S十核高配版的500MHZ,Ejd,CPU配置高,,
,麒麟955的CPU，真心不错，运行4G的DDR4内存,Ejd,CPU配置高,,
,cpu 1.5GHZ反应还可以,Ejd,CPU配置高,,
,看上的是650CPU 功耗低 买的高配,Ejd,CPU配置高,,
,主要看重骁龙652的CPU，建议大家选择中间当次这款，可以上网查查骁龙652的评测，28纳米发热量大是肯定的，但是速度也绝对够快,Ejd,CPU配置高,,
,高通CPU也很强劲,Ejd,CPU配置高,,
,麒麟955 CPU速度快稳定,Ejd,CPU配置高,,
,CPU性能不错,Ejd,CPU配置高,,
,CPU也行,Ejd,CPU配置高,,
,重点还是cpu，采用了三星7420处理器的pro5，运行非常流畅，非常快,Ejd,CPU配置高,,
,CPU采用自家麒麟950，性能上肯定比820有所提高,Ejd,CPU配置高,,
,冲着cpu买的,Ejd,CPU配置高,,
,目前三星顶配的CPU性能还是比较强悍,Ejd,CPU配置高,,
,cpu配置高,Ejd,CPU配置高,,
,CPU性能很好,Ejd,CPU配置高,,
,麒麟955CPU速度就是快,Ejd,CPU配置高,,
,CPU 比A7超越不少,Ejd,CPU配置高,,
,CPU反应快,Ejd,CPU配置高,,
,高通652cpu，中端最强处理器了,Ejd,CPU配置高,,
,骁龙801cpu强劲有力,Ejd,CPU配置高,,
,cpu是最新的955,Ejd,CPU配置高,,
,cpu台积电，好评吧,Ejd,CPU配置高,,
,万年坑的三星CPU终于给力一回了,Ejd,CPU配置高,,
,联发科CPU还不错,Ejd,CPU配置高,,
,高通cpu发热很正常，因为性能强悍,Ejd,CPU配置高,,
,选择这款就是图个cpu，果然不错,Ejd,CPU配置高,,
,骁龙cpu就是强悍,Ejd,CPU配置高,,
,CPU快,Ejd,CPU配置高,,
,高通的CPU给力,Ejd,CPU配置高,,
,台积电的cpu，手机反应流畅，挺值,Ejd,CPU配置高,,
,CPU是台积电的还不错,Ejd,CPU配置高,,
,CPU反应很快,Ejd,CPU配置高,,
,还有十核的CPU,Ejd,CPU配置高,,
,高通中高端CPU性能超足够,Ejd,CPU配置高,,
,cpu不错,Ejd,CPU配置高,,
,再说配置，麒麟950cpu超给力,Ejd,CPU配置高,,
,千元机里面的顶配CPU,Ejd,CPU配置高,,
,"骁龙2.5的cpu,核心动力强罕",Ejd,CPU配置高,,
,CPU强悍,Ejd,CPU配置高,,
,不亏是650的cpu游戏流畅无比,Ejd,CPU配置高,,
,CPU处理还好,Ejd,CPU配置高,,
,高通801的cpu很给力,Ejd,CPU配置高,,
,强劲的cpu,Ejd,CPU配置高,,
,CPU速度快,Ejd,CPU配置高,,
,高通骁龙处理器乃手机cpu里面最好的,Ejd,CPU配置高,,
,cpu处理器都是很好的,Ejd,CPU配置高,,
,CPU强进,Ejd,CPU配置高,,
,其实主要就是冲着CPU去的，确实是强悍的,Ejd,CPU配置高,,
,CPU性能算高端,Ejd,CPU配置高,,
,高通的处理器，很高的cpu了,Ejd,CPU配置高,,
,cpu运行也是好棒的,Ejd,CPU配置高,,
,CPU确实给力,Ejd,CPU配置高,,
,强劲的CPU加上4G的运存，反应非常迅速,Ejd,CPU配置高,,
,cpu更高频,Ejd,CPU配置高,,
,cpu强大,Ejd,CPU配置高,,
,手机搭载高通骁龙625处理器，8核动力强劲，高性能不容小视,Ejd,CPU配置高,,
,速度够快，CPU处理好,Ejd,CPU配置高,,
,650的cpu果然很给力,Ejd,CPU配置高,,
,高通810的CPU刚刚的,Ejd,CPU配置高,,
,麒麟955的cpu不错,Ejd,CPU配置高,,
